Tendero,Bienvenida,Muy buenas viajero,hello traveler
Tendero,AbrirComprar,Que desea comprar viajero?,What do you want to buy traveler?
Tendero,Comprar,Muchas gracias por la compra viajero,Thank you very much for the purchase traveler
Tendero,AbrirVender,Que desea vender viajero?,What do you want to sell traveler?
Tendero,Vender,Muchas gracias. aquí tienes tu dinero viajero,Thank you very much. here's your money. traveler
Buonero,Bienvenida,Muy buenas viajero,hello traveler
Buonero,AbrirComprar,Que desea comprar viajero?,What do you want to buy traveler?
Buonero,Comprar,Muchas gracias por la compra viajero,Thank you very much for the purchase traveler
Buonero,AbrirVender,Que desea vender viajero?,What do you want to sell traveler?
Buonero,Vender,Muchas gracias. aquí tienes tu dinero viajero,Thank you very much. here's your money. traveler
TenderoGranjero,Bienvenida,Bienvenido a mi tienda viajero,Welcome to my shop traveler
TenderoGranjero,AbrirComprar,Desea comprar algún animal?,Do you want to buy an animal?
TenderoGranjero,Comprar,Muchas gracias por la compra viajero,Thank you very much for the purchase traveler
TenderoGranjero,AbrirVender,Desea venedr algún animal?,Do you want to sell an animal?
TenderoGranjero,Vender,Muchas gracias. aquí tienes tu dinero viajero,Thank you very much. here's your money. traveler
NPC1,Dialogo1,Hola viajero. como vas?,
NPC1,Dialogo1,En este pueblo puedes encontrar variedad de tiendas y gente,
NPC1,Dialogo1,Para los viajeros tenemos al final del pueblo una carpa para que puedas dormir gratis,
NPC1,Dialogo1,Además al lado de la tienda tienes un lugar para plantar y colocar lo que quieras,
NPC1,Dialogo1,La carpa es para el primer viajero que llegue así que es toda tuya,
NPC1,Dialogo2,Te está gustando el pueblo viajero?,
NPC1,Dialogo3,He oído que dentro de poco podremos rentar un barco para poder salir a pescar,
NPC1,Dialogo3,No es emocionante?,
NPCHistoria1,Dialogo1,¡¡ Ayuda porfavor !!,
NPCHistoria1,Dialogo1,execute3,
NPCHistoria1,Dialogo2,Muchas gracias viajero,
NPCHistoria1,Dialogo2,Ya pensaba que no lo contaba,
NPCHistoria1,Dialogo2,Ven conmigo. quiero presentarte a alguien,
NPCHistoria1,Dialogo2,execute1,
Rey,Dialogo1,Hola viajero. muchas gracias por salvar a mi ayudante de las garras de esas ruines bestias,
Rey,Dialogo1,Hemos estado sufriendo diversos ataques en los cuales han desaparecido muchos ciudadanos,
Rey,Dialogo1,Estaria muy agradecido si nos ayudaras,
Rey,Dialogo1,Hemos descubierto que las bestias se esconden en la cueva que hay al final de pueblo,
Rey,Dialogo1,Mi amigo que ha hablado muy bien de ti,
Rey,Dialogo1,Te recompensaré con una generosa cantidad de oro,
Rey,Dialogo1,execute2,
NPCHistoria2,Dialogo1,Muchas gracias viajero,
NPCHistoria2,Dialogo1,Gracias a ti no volveremos a sufrir ataques de esos asquerosos seres,
NPCHistoria2,Dialogo1,No se atreverán a salir de esta cueva nunca más,
NPCHistoria2,Dialogo1,execute4,
Rey,Dialogo2,Aquí tienes tu recompensa. espero que sea suficiente para ti,
Rey,Dialogo2,Y si tenemos algún problema estaría agradecido de precisar de tu ayuda,
Rey,Dialogo2,Espero que nos volvemos a ver viajero,
Rey,Dialogo2,execute5,
NPCHistoria2,Dialogo2,Muchas gracias por salvarnos viajero. te estare eternamente agradecido,
NPCAldeanoCastillo1,Dialogo1,Desde que has llegado al pueblo las cosas han empezado a ir mejor,
